data,sad,sygnatura,wynik,charakter,przyczyna,rodzaj,opis,link,nsa_sygnatura,nsa_link,nsa_zmienil
2024-03-28,WSA we Wrocławiu,II SAB/Wr 97/24,Negatywny,Merytoryczny,"Bieg terminu załatwienia sprawy nie rozpoczął się albo uległ zawieszeniu na podstawie art. 100c lub art. 100d ustawy o pomocy obywatelom Ukrainy, dlatego sąd nie stwierdził bezczyn",Skarga na bezczynność Wojewody w sprawie zezwolenia na pobyt czasowy,"Skarżący nie uzyskał stwierdzenia bezczynności ani przewlekłości, zobowiązania organu do wydania decyzji, stwierdzenia rażącego naruszenia prawa ani sumy pieniężnej; skargę oddalono w całości. Następnie NSA oddalił jego skargę kasacyjną.",https://orzeczenia.nsa.gov.pl/doc/039CA48689,II OSK 3160/24,https://orzeczenia.nsa.gov.pl/doc/D53EAEC9E1,Nie
2024-04-17,WSA w Gliwicach,III SAB/Gl 38/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody oraz zobowiązano organ do rozpoznania wniosku o zezwolenie na pobyt czasowy i pracę w terminie 60 dni od zwrotu akt; pozostałe roszczenia skarżącego oddalono.,https://orzeczenia.nsa.gov.pl/doc/A7C48DB011,II OSK 2241/24,https://orzeczenia.nsa.gov.pl/doc/39397EB202,Tak
2024-04-24,WSA w Gliwicach,III SAB/Gl 46/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Sąd stwierdził bezczynność Wojewody i zobowiązał go do rozpoznania wniosku skarżącego o zezwolenie na pobyt i pracę w terminie 60 dni; nie przyznał natomiast żądanej sumy pieniężnej (ani nie wymierzył grzywny).,https://orzeczenia.nsa.gov.pl/doc/87A7436C05,II OSK 2479/24,https://orzeczenia.nsa.gov.pl/doc/6A569DB51F,Tak
2024-04-24,WSA w Gliwicach,III SAB/Gl 55/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody i zobowiązano go do rozpoznania wniosku o zezwolenie na pobyt czasowy i pracę w terminie 60 dni od zwrotu akt.,https://orzeczenia.nsa.gov.pl/doc/90029144C3,II OSK 2027/24,https://orzeczenia.nsa.gov.pl/doc/271190AC4E,Tak
2024-05-07,WSA w Gliwicach,III SAB/Gl 53/24,Pozytywny,Merytoryczny,,Pobyt czasowy,"Stwierdzono bezczynność Wojewody, zobowiązano organ do rozpatrzenia wniosku o pobyt czasowy w 60 dni oraz zasądzono 580 zł kosztów; odmówiono uwzględnienia żądań ubocznych o sumę pieniężną/grzywnę.",https://orzeczenia.nsa.gov.pl/doc/C0DC776042,II OSK 2243/24,https://orzeczenia.nsa.gov.pl/doc/8000F1FFD7,Tak
2024-05-07,WSA w Gliwicach,III SAB/Gl 97/24,Pozytywny,Merytoryczny,,Pobyt czasowy,Stwierdzono bezczynność Wojewody i zobowiązano organ do rozpoznania wniosku o zezwolenie na pobyt czasowy w terminie 60 dni od zwrotu akt z prawomocnym wyrokiem; przyznano zwrot kosztów 580 zł.,https://orzeczenia.nsa.gov.pl/doc/E4AD911945,II OSK 2339/24,https://orzeczenia.nsa.gov.pl/doc/64DE962208,Tak
2024-05-08,WSA w Gliwicach,III SAB/Gl 45/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,"Stwierdzono bezczynność Wojewody bez rażącego naruszenia prawa; umorzono postępowanie w części zobowiązania organu (z uwagi na wydanie decyzji w trakcie), a sąd zasądził na rzecz skarżącej koszty postępowania sądowego.",https://orzeczenia.nsa.gov.pl/doc/AAEE4A3359,II OSK 2026/24,https://orzeczenia.nsa.gov.pl/doc/3F773A79D4,Tak
2024-05-08,WSA w Gliwicach,III SAB/Gl 59/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,"Stwierdzono bezczynność Wojewody i zobowiązano organ do rozpatrzenia wniosku o zezwolenie na pobyt czasowy i pracę w terminie 30 dni od zwrotu akt, a także zasądzono koszty postępowania (580 zł).",https://orzeczenia.nsa.gov.pl/doc/E2629E28DC,II OSK 2025/24,https://orzeczenia.nsa.gov.pl/doc/05F92CE695,Tak
2024-05-10,WSA w Gliwicach,III SAB/Gl 75/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Skarżący uzyskał podstawową ochronę: stwierdzenie bezczynności i zobowiązanie organu do rozpatrzenia wniosku w terminie 30 dni (bez zasądzenia żądanej sumy pieniężnej/grzywny).,https://orzeczenia.nsa.gov.pl/doc/2C0CF9A044,II OSK 2593/24,https://orzeczenia.nsa.gov.pl/doc/C1F899994F,Tak
2024-05-14,WSA w Gliwicach,III SAB/Gl 74/24,Pozytywny,Merytoryczny,,Pobyt czasowy i praca,Stwierdzono bezczynność Wojewody oraz zobowiązano organ do rozpoznania wniosku o udzielenie zezwolenia na pobyt i pracę w terminie 60 dni od zwrotu akt z prawomocnym wyrokiem.,https://orzeczenia.nsa.gov.pl/doc/83166DA4F0,II OSK 2240/24,https://orzeczenia.nsa.gov.pl/doc/76472461F7,Tak
